age,pages,first_item_prize,gender,ReBuy,News_click,revenue,population,GDP_inhab
41.0,6.0,28.0,0.0,False,4.0,113.0,65926261,9503
34.0,4.0,15.5,0.0,True,2.0,36.0,65926261,9503
38.0,5.0,44.0,0.0,False,7.0,111.0,65926261,9503
20.0,5.0,44.0,0.0,False,2.0,71.0,65926261,9503
39.0,10.0,10.0,0.0,True,4.0,80.0,65926261,9503
39.0,8.0,44.0,0.0,False,5.0,61.0,65926261,9503
36.0,6.0,44.0,1.0,False,2.0,51.0,65926261,9503
43.0,4.0,57.0,1.0,False,7.0,128.0,65926261,9503
42.0,7.0,42.0,1.0,True,5.0,114.0,65926261,9503
40.0,7.0,42.0,0.0,False,5.0,109.0,65926261,9503
35.0,9.0,44.0,1.0,True,3.0,42.0,65926261,9503
28.0,3.0,44.0,1.0,False,0.0,28.0,65926261,9503
39.0,5.0,57.0,0.0,True,4.0,165.0,65926261,9503
25.0,7.0,44.0,1.0,False,1.0,93.0,65926261,9503
35.0,5.0,28.0,0.0,False,1.0,40.0,65926261,9503
36.0,8.0,44.0,0.0,False,4.0,311.0,65926261,9503
40.0,3.0,15.5,1.0,False,7.0,60.0,65926261,9503
43.0,8.0,44.0,0.0,False,6.0,188.0,65926261,9503
33.0,5.0,28.0,1.0,True,6.0,73.0,65926261,9503
42.0,6.0,42.0,1.0,False,3.0,39.0,65926261,9503
37.0,8.0,44.0,1.0,False,7.0,235.0,65926261,9503
35.0,8.0,15.5,1.0,True,4.0,106.0,65926261,9503
32.0,4.0,22.0,0.0,False,3.0,66.0,65926261,9503
49.0,2.0,22.0,1.0,False,1.0,61.0,65926261,9503
39.0,5.0,15.5,0.0,True,4.0,118.0,65926261,9503
44.0,5.0,44.0,0.0,False,5.0,170.0,65926261,9503
29.0,5.0,57.0,0.0,True,4.0,192.0,65926261,9503
37.0,7.0,22.0,0.0,True,4.0,65.0,65926261,9503
53.0,8.0,22.0,0.0,False,3.0,42.0,65926261,9503
35.0,6.0,44.0,0.0,False,2.0,57.0,65926261,9503
21.0,3.0,22.0,0.0,False,6.0,69.0,65926261,9503
45.0,8.0,10.0,0.0,False,3.0,40.0,65926261,9503
32.0,5.0,44.0,0.0,False,6.0,130.0,65926261,9503
33.0,10.0,44.0,0.0,False,5.0,224.0,65926261,9503
24.0,4.0,57.0,0.0,False,5.0,123.0,65926261,9503
51.0,7.0,42.0,0.0,False,6.0,121.0,65926261,9503
29.0,8.0,44.0,1.0,False,4.0,191.0,65926261,9503
57.0,4.0,15.5,1.0,False,7.0,80.0,65926261,9503
49.0,5.0,44.0,1.0,False,0.0,85.0,65926261,9503
33.0,7.0,28.0,0.0,False,1.0,41.0,65926261,9503
29.0,6.0,15.5,1.0,False,4.0,90.0,65926261,9503
45.0,4.0,44.0,1.0,True,2.0,108.0,65926261,9503
45.0,5.0,15.5,0.0,False,7.0,73.0,65926261,9503
34.0,5.0,44.0,1.0,False,2.0,130.0,65926261,9503
40.0,10.0,15.5,0.0,True,4.0,109.0,65926261,9503
43.0,8.0,28.0,0.0,False,5.0,54.0,65926261,9503
28.0,6.0,10.0,1.0,False,2.0,49.0,65926261,9503
33.0,4.0,10.0,0.0,False,7.0,74.0,65926261,9503
32.0,7.0,44.0,1.0,True,5.0,258.0,65926261,9503
32.0,7.0,44.0,1.0,False,5.0,68.0,65926261,9503
31.0,9.0,15.5,1.0,True,3.0,52.0,65926261,9503
45.0,3.0,44.0,1.0,False,0.0,87.0,65926261,9503
39.0,5.0,15.5,0.0,True,4.0,105.0,65926261,9503
33.0,7.0,22.0,1.0,False,1.0,24.0,65926261,9503
39.0,5.0,28.0,0.0,False,1.0,54.0,65926261,9503
47.0,8.0,44.0,0.0,False,4.0,245.0,65926261,9503
38.0,3.0,44.0,0.0,False,7.0,79.0,65926261,9503
28.0,8.0,15.5,0.0,False,6.0,106.0,65926261,9503
53.0,5.0,42.0,0.0,True,6.0,76.0,65926261,9503
41.0,6.0,44.0,0.0,False,3.0,65.0,65926261,9503
30.0,8.0,28.0,0.0,False,7.0,125.0,65926261,9503
32.0,8.0,15.5,0.0,True,4.0,130.0,65926261,9503
34.0,4.0,28.0,0.0,False,3.0,48.0,65926261,9503
37.0,2.0,44.0,0.0,False,1.0,46.0,65926261,9503
23.0,5.0,10.0,0.0,True,4.0,121.0,65926261,9503
33.0,5.0,44.0,0.0,False,5.0,143.0,65926261,9503
29.0,5.0,44.0,1.0,True,4.0,234.0,65926261,9503
41.0,7.0,57.0,1.0,True,4.0,191.0,65926261,9503
40.0,8.0,42.0,1.0,False,3.0,66.0,65926261,9503
43.0,6.0,42.0,0.0,False,2.0,36.0,65926261,9503
29.0,3.0,44.0,1.0,False,6.0,139.0,65926261,9503
44.0,8.0,44.0,1.0,False,3.0,115.0,65926261,9503
44.0,5.0,57.0,0.0,False,6.0,132.0,65926261,9503
33.0,10.0,44.0,1.0,False,5.0,81.0,65926261,9503
32.0,4.0,28.0,0.0,False,5.0,109.0,65926261,9503
33.0,7.0,44.0,0.0,False,6.0,164.0,65926261,9503
51.0,8.0,15.5,1.0,False,4.0,56.0,65926261,9503
30.0,4.0,44.0,0.0,False,7.0,215.0,65926261,9503
30.0,5.0,28.0,1.0,False,0.0,57.0,65926261,9503
28.0,7.0,42.0,1.0,False,1.0,24.0,65926261,9503
42.0,6.0,44.0,1.0,False,4.0,238.0,65926261,9503
25.0,4.0,15.5,1.0,True,2.0,66.0,65926261,9503
26.0,5.0,22.0,0.0,False,7.0,70.0,65926261,9503
43.0,5.0,22.0,1.0,False,2.0,34.0,65926261,9503
33.0,10.0,15.5,0.0,True,4.0,56.0,65926261,9503
41.0,8.0,44.0,0.0,False,5.0,255.0,65926261,9503
31.0,6.0,57.0,0.0,False,2.0,60.0,65926261,9503
28.0,4.0,22.0,0.0,False,7.0,118.0,65926261,9503
35.0,7.0,22.0,0.0,True,5.0,96.0,65926261,9503
31.0,7.0,44.0,0.0,False,5.0,124.0,65926261,9503
